Layer,CAV_Ori,CAV_Ada,TCAV_Ori,TCAV_Ada,Sig_Ori,Sig_Ada
layer1,0.825893404631635,0.9137063147284943,0.5024680158175158,0.5016919218183776,0.4657616550116549,0.5015986562457152
layer2,0.6655525203691255,0.7688210411485502,0.502309064935065,0.502740262959263,0.5844473304473304,0.5347203907203908
layer3,0.8942429196575028,0.8969797139705165,0.5244059523809524,0.5142050793650794,0.6052380952380951,0.5361269841269842
layer4,0.905586102524926,0.9073766993164787,0.7908166666666664,0.7718333333333333,0.9336666666666668,0.8726666666666665
