Layer,Edge_Ori,Edge_Ada,Density_Ori,Density_Ada
layer1,0.4489651886108444,0.43249244223450367,0.9849485068463706,0.9831766925783074
layer2,0.5021392191000137,0.48752366508623757,0.9892799066507764,0.9815655965215341
layer3,0.533408374960918,0.5155939269650895,0.9928364087301585,0.9943549019961521
layer4,0.6476166666666665,0.6336,0.6476166666666665,0.6336
