Layer,Ori_Mean,Ori_Std,Ada_Mean,Ada_Std
layer1,150413.35441988372,105.09775626094427,150462.96870033615,60.557578246951635
layer2,150332.42679284627,177.75609878669604,150398.87823587636,119.7369413674743
layer3,150191.64959002868,304.76412102506345,150270.93698559434,237.9600811473122
layer4,150010.40116363636,479.10794978071203,150013.087,477.44193851923154
